ReviewId, ReviewersNum, AveReliability, MimReliability, Status, PatchType
9948, 3, 0.901187, 0.814672, merged, NotConsensus
9949, 3, 0.729470, 0.456572, abandoned, NotConsensus
9950, 2, 0.550158, 0.455871, merged, AllCorrect
9953, 2, 0.725467, 0.700935, merged, AllInCorrect
9955, 3, 0.674574, 0.626984, merged, AllCorrect
9956, 2, 0.665310, 0.456288, merged, NotConsensus
9957, 1, 0.455939, 0.455939, merged, AllCorrect
9958, 2, 0.542232, 0.456006, merged, AllCorrect
9959, 1, 0.555556, 0.555556, merged, AllCorrect
9963, 1, 0.456073, 0.456073, merged, AllCorrect
9965, 2, 0.759398, 0.714286, merged, NotConsensus
9966, 5, 0.668192, 0.456489, merged, NotConsensus
9967, 3, 0.749692, 0.655914, merged, NotConsensus
9970, 1, 0.455513, 0.455513, merged, AllCorrect
9975, 4, 0.634623, 0.455927, merged, AllCorrect
9977, 3, 0.420391, 0.000000, merged, NotConsensus
9978, 3, 0.667415, 0.560976, abandoned, AllCorrect
9980, 3, 0.706931, 0.456340, merged, NotConsensus
9986, 2, 0.228203, 0.000000, merged, AllCorrect
9987, 2, 0.664071, 0.456818, merged, NotConsensus
9988, 3, 0.627132, 0.500000, merged, AllCorrect
9991, 3, 0.590990, 0.457229, merged, AllCorrect
9993, 2, 0.636715, 0.457640, merged, AllCorrect
9994, 5, 0.685851, 0.458050, merged, NotConsensus
9995, 2, 0.637202, 0.457014, merged, AllCorrect
9997, 3, 0.448232, 0.000000, merged, NotConsensus
9998, 4, 0.677393, 0.457614, merged, NotConsensus
9999, 2, 0.541926, 0.456929, merged, AllCorrect
10000, 2, 0.755513, 0.736111, abandoned, AllCorrect
10001, 2, 0.616318, 0.457335, abandoned, NotConsensus
10003, 3, 0.735431, 0.456993, abandoned, NotConsensus
10004, 1, 0.600000, 0.600000, merged, AllInCorrect
10006, 1, 0.456652, 0.456652, merged, AllCorrect
10007, 1, 0.843931, 0.843931, merged, AllInCorrect
10009, 1, 0.457058, 0.457058, merged, AllCorrect
10010, 1, 0.750000, 0.750000, merged, AllCorrect
10011, 1, 0.798817, 0.798817, merged, AllInCorrect
